,Title,Year,Category,Language,Country,Content Rating,Duration,Aspect Ratio,Budget,Gross Earnings,Director,Actor 1,Actor 2,Actor 3,Facebook Likes - Director,Facebook Likes - Actor 1,Facebook Likes - Actor 2,Facebook Likes - Actor 3,Facebook Likes - cast Total,Facebook likes - Movie,Facenumber in posters,User Votes,Reviews by Users,Reviews by Crtiics,IMDB Score
1603,Madison ,2001.0,Drama|Sport,English,USA,PG,94.0,2.35,,508867.0,William Bindley,Bruce Dern,Jake Lloyd,William Shockley,4.0,844.0,626.0,518.0,3583,282,0.0,1033,26.0,21.0,6.5
1604,Max Keeble's Big Move ,2001.0,Comedy|Crime|Family,English,USA,PG,91.0,1.85,12000000.0,17292381.0,Tim Hill,Noel Fisher,Amber Valletta,Larry Miller,25.0,833.0,626.0,611.0,4551,371,0.0,5794,69.0,37.0,5.3
1605,Mean Machine ,2001.0,Comedy|Drama|Sport,English,UK,R,99.0,1.85,2500000.0,92191.0,Barry Skolnick,Jason Statham,Jason Flemyng,Danny Dyer,0.0,26000.0,1000.0,798.0,29325,0,1.0,29463,84.0,54.0,6.5
1606,Megiddo: The Omega Code 2 ,2001.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,English,USA,PG-13,104.0,1.85,22000000.0,5974653.0,Brian Trenchard-Smith,Michael Biehn,Udo Kier,Franco Nero,53.0,2000.0,595.0,576.0,4221,158,0.0,2253,111.0,18.0,4.1
1607,Monkeybone ,2001.0,Animation|Comedy|Fantasy,English,USA,PG-13,93.0,1.85,75000000.0,5409517.0,Henry Selick,Brendan Fraser,Bridget Fonda,Megan Mullally,253.0,3000.0,889.0,637.0,5580,683,0.0,14280,171.0,74.0,4.7
1608,Monsoon Wedding ,2001.0,Comedy|Drama|Romance,Hindi,India,R,114.0,1.85,7000000.0,13876974.0,Mira Nair,Naseeruddin Shah,Randeep Hooda,Lillete Dubey,300.0,307.0,209.0,73.0,809,0,0.0,19397,214.0,137.0,7.4
1609,Monster's Ball ,2001.0,Drama|Romance,English,USA,R,112.0,2.35,4000000.0,31252964.0,Marc Forster,Heath Ledger,Peter Boyle,Marcus Lyle Brown,395.0,13000.0,595.0,80.0,13707,0,1.0,71495,522.0,153.0,7.1
1610,"Monsters, Inc. ",2001.0,Adventure|Animation|Comedy|Family|Fantasy,English,USA,G,92.0,1.85,115000000.0,289907418.0,Pete Docter,Steve Buscemi,John Ratzenberger,James Coburn,0.0,12000.0,1000.0,773.0,15013,0,0.0,585659,593.0,250.0,8.1
1611,Moulin Rouge! ,2001.0,Drama|Musical|Romance,English,USA,PG-13,127.0,2.35,52500000.0,57386369.0,Baz Luhrmann,Jim Broadbent,Kylie Minogue,Richard Roxburgh,1000.0,1000.0,691.0,653.0,2601,10000,1.0,224013,2319.0,209.0,7.6
1612,Mulholland Drive ,2001.0,Drama|Mystery|Thriller,English,France,R,147.0,1.85,15000000.0,7219578.0,David Lynch,Naomi Watts,Robert Forster,Laura Harring,0.0,6000.0,889.0,669.0,8484,16000,1.0,235992,1768.0,252.0,8.0
1613,Never Again ,2001.0,Comedy|Romance,English,USA,R,98.0,1.85,500000.0,295468.0,Eric Schaeffer,Peter Dinklage,Bill Duke,Michael McKean,71.0,22000.0,1000.0,658.0,24382,139,1.0,709,34.0,25.0,6.0
1614,Not Another Teen Movie ,2001.0,Comedy,English,USA,R,99.0,1.85,16000000.0,37882551.0,Joel Gallen,Chris Evans,JoAnna Garcia Swisher,Mia Kirshner,11.0,11000.0,983.0,971.0,15369,0,0.0,80305,393.0,97.0,5.7
1615,Novocaine ,2001.0,Comedy|Crime|Drama|Thriller,English,USA,R,95.0,1.85,6000000.0,2025238.0,David Atkins,Chelcie Ross,Lynne Thigpen,Polly Noonan,8.0,244.0,230.0,15.0,489,289,3.0,9589,105.0,84.0,5.8
1616,Nowhere in Africa ,2001.0,Biography|Drama,English,Germany,R,141.0,2.35,7000000.0,6173485.0,Caroline Link,Merab Ninidze,Juliane Köhler,Matthias Habich,11.0,56.0,36.0,8.0,105,802,0.0,10672,84.0,73.0,7.7
1617,O ,2001.0,Drama|Romance|Thriller,English,USA,R,95.0,1.85,5000000.0,16017403.0,Tim Blake Nelson,Mekhi Phifer,Andrew Keegan,John Heard,596.0,1000.0,835.0,697.0,3300,0,2.0,17333,153.0,92.0,6.2
1618,O ,2001.0,Drama|Romance|Thriller,English,USA,R,95.0,1.85,5000000.0,16017403.0,Tim Blake Nelson,Mekhi Phifer,Andrew Keegan,John Heard,596.0,1000.0,835.0,697.0,3300,0,2.0,17333,153.0,92.0,6.2
1619,Ocean's Eleven ,2001.0,Crime|Thriller,English,USA,PG-13,116.0,2.35,85000000.0,183405771.0,Steven Soderbergh,Brad Pitt,Bernie Mac,Elliott Gould,0.0,11000.0,1000.0,471.0,13028,0,4.0,402645,845.0,186.0,7.8
1620,On the Line ,2001.0,Comedy|Family|Romance,English,USA,PG,85.0,1.85,16000000.0,4356743.0,Eric Bross,Jerry Stiller,Tamala Jones,Dave Foley,49.0,719.0,405.0,401.0,2446,0,2.0,3662,79.0,46.0,4.1
1621,Original Sin ,2001.0,Drama|Mystery|Romance|Thriller,English,France,R,118.0,2.35,42000000.0,16252765.0,Michael Cristofer,Angelina Jolie Pitt,Gregory Itzin,Jack Thompson,49.0,11000.0,216.0,155.0,11662,3000,1.0,44913,181.0,93.0,6.0
1622,Osmosis Jones ,2001.0,Action|Adventure|Animation|Comedy|Crime|Family|Fantasy,English,USA,PG,95.0,2.35,70000000.0,13596911.0,Bobby Farrelly,Ron Howard,Brandy Norwood,David Hyde Pierce,101.0,2000.0,509.0,443.0,3734,2000,0.0,25572,123.0,81.0,6.2
1623,Out Cold ,2001.0,Comedy|Sport,English,USA,PG-13,89.0,1.85,11000000.0,13903262.0,Brendan Malloy,Lee Majors,Jason London,Thomas Lennon,2.0,799.0,711.0,651.0,4291,0,0.0,14656,90.0,37.0,6.3
1624,Pearl Harbor ,2001.0,Action|Drama|History|Romance|War,English,USA,PG-13,184.0,2.35,140000000.0,198539855.0,Michael Bay,Jennifer Garner,Jaime King,Mako,0.0,3000.0,961.0,691.0,5401,0,0.0,254111,1999.0,191.0,6.1
1625,Planet of the Apes ,2001.0,Action|Adventure|Sci-Fi|Thriller,English,USA,PG-13,119.0,2.35,100000000.0,180011740.0,Tim Burton,Cary-Hiroyuki Tagawa,Estella Warren,Erick Avari,13000.0,1000.0,658.0,567.0,2776,0,0.0,177725,1368.0,230.0,5.7
1626,Planet of the Apes ,2001.0,Action|Adventure|Sci-Fi|Thriller,English,USA,PG-13,119.0,2.35,100000000.0,180011740.0,Tim Burton,Cary-Hiroyuki Tagawa,Estella Warren,Erick Avari,13000.0,1000.0,658.0,567.0,2776,0,0.0,177729,1368.0,230.0,5.7
1627,Pootie Tang ,2001.0,Action|Adventure|Comedy|Musical,English,USA,PG-13,81.0,1.85,3000000.0,3293258.0,Louis C.K.,Wanda Sykes,J.B. Smoove,Robert Vaughn,0.0,560.0,555.0,542.0,2238,0,0.0,11399,131.0,31.0,5.2
1628,Rat Race ,2001.0,Adventure|Comedy,English,Canada,PG-13,112.0,2.35,48000000.0,56607223.0,Jerry Zucker,Corinna Harney,Douglas Haase,Vince Vieluf,109.0,779.0,629.0,261.0,1823,0,8.0,93367,497.0,103.0,6.4
1629,Recess: School's Out ,2001.0,Animation|Comedy|Family|Mystery|Sci-Fi,English,USA,G,82.0,1.85,23000000.0,36696761.0,Chuck Sheetz,Diedrich Bader,Andrew Lawrence,Dabney Coleman,6.0,759.0,563.0,345.0,2197,227,0.0,6808,38.0,44.0,6.5
1630,Riding in Cars with Boys ,2001.0,Biography|Comedy|Drama,English,USA,PG-13,132.0,1.85,48000000.0,29781453.0,Penny Marshall,Rosie Perez,Adam Garcia,Alissa Dean,545.0,919.0,811.0,807.0,4796,0,1.0,22447,210.0,89.0,6.4
1631,Rock Star ,2001.0,Drama|Music,English,USA,R,105.0,2.35,57000000.0,16991902.0,Stephen Herek,Beth Grant,Dagmara Dominczyk,Matthew Glave,65.0,628.0,316.0,108.0,1265,0,0.0,34592,191.0,107.0,6.2
1632,Rush Hour 2 ,2001.0,Action|Comedy|Crime|Thriller,English,USA,PG-13,90.0,2.35,90000000.0,226138454.0,Brett Ratner,Mei Melançon,John Lone,Harris Yulin,420.0,191.0,165.0,141.0,664,0,2.0,160440,394.0,127.0,6.6
1633,Save the Last Dance ,2001.0,Drama|Music|Romance,English,USA,PG-13,112.0,1.85,13000000.0,91038276.0,Thomas Carter,Sean Patrick Thomas,Terry Kinney,Fredro Starr,49.0,656.0,363.0,237.0,1307,0,0.0,47876,320.0,101.0,6.1
1634,Saving Silverman ,2001.0,Comedy|Crime|Romance,English,USA,PG-13,96.0,1.85,22000000.0,19351569.0,Dennis Dugan,Amanda Detmer,Neil Diamond,Kyle Gass,221.0,240.0,226.0,110.0,664,739,1.0,33287,201.0,97.0,5.9
1635,Say It Isn't So ,2001.0,Comedy|Romance,English,USA,R,95.0,1.85,25000000.0,5516708.0,J.B. Rogers,Eddie Cibrian,Chris Klein,Jack Plotnick,6.0,849.0,841.0,248.0,2413,295,2.0,11375,91.0,87.0,4.9
1636,Scary Movie 2 ,2001.0,Comedy,English,USA,R,83.0,1.85,45000000.0,71277420.0,Keenen Ivory Wayans,Natasha Lyonne,Veronica Cartwright,Andy Richter,322.0,1000.0,422.0,179.0,1645,0,7.0,119590,548.0,127.0,5.2
1637,See Spot Run ,2001.0,Action|Comedy|Crime|Family,English,USA,PG,94.0,1.85,35000000.0,33357476.0,John Whitesell,Leslie Bibb,Angus T. Jones,Paul Sorvino,14.0,1000.0,1000.0,635.0,4194,393,0.0,7392,53.0,51.0,5.4
1638,Serendipity ,2001.0,Comedy|Romance,English,USA,PG-13,82.0,1.85,28000000.0,49968653.0,Peter Chelsom,Lilli Lavine,David Sparrow,Ann Talman,23.0,11.0,9.0,6.0,37,12000,0.0,85423,374.0,122.0,6.9
1639,Session 9 ,2001.0,Horror|Mystery,English,USA,R,100.0,2.35,1500000.0,373967.0,Brad Anderson,Paul Guilfoyle,Brendan Sexton III,Larry Fessenden,122.0,210.0,148.0,83.0,469,0,0.0,43839,481.0,127.0,6.5
1640,Shallow Hal ,2001.0,Comedy|Drama|Fantasy|Romance,English,USA,PG-13,114.0,1.85,40000000.0,70836296.0,Bobby Farrelly,Jason Alexander,Bruce McGill,Susan Ward,101.0,700.0,655.0,398.0,2842,0,2.0,109445,426.0,109.0,5.9
1641,Shaolin Soccer ,2001.0,Action|Comedy|Sport,Cantonese,Hong Kong,PG,85.0,1.85,10000000.0,488872.0,Stephen Chow,Wei Zhao,Karen Mok,Kwok-Kwan Chan,0.0,478.0,83.0,51.0,700,0,2.0,56923,243.0,246.0,7.3
1642,Shrek ,2001.0,Adventure|Animation|Comedy|Family|Fantasy,English,USA,PG,90.0,1.85,60000000.0,267652016.0,Andrew Adamson,Kathleen Freeman,Chris Miller,Bobby Block,80.0,145.0,50.0,21.0,275,0,1.0,467113,945.0,212.0,7.9
1643,Someone Like You... ,2001.0,Comedy|Romance,English,USA,PG-13,97.0,1.85,23000000.0,27338033.0,Tony Goldwyn,Hugh Jackman,Ellen Barkin,Catherine Dent,956.0,20000.0,551.0,99.0,20798,0,3.0,19709,167.0,92.0,6.1
1644,Soul Survivors ,2001.0,Drama|Horror|Mystery|Thriller,English,USA,PG-13,84.0,1.85,14000000.0,3100650.0,Stephen Carpenter,Melissa Sagemiller,Angela Featherstone,Candace Kroslak,12.0,159.0,102.0,102.0,417,231,4.0,7277,181.0,64.0,3.9
1645,Spirited Away ,2001.0,Adventure|Animation|Family|Fantasy,Japanese,Japan,PG,125.0,1.85,19000000.0,10049886.0,Hayao Miyazaki,Bunta Sugawara,Ryûnosuke Kamiki,Miyu Irino,6000.0,17.0,10.0,7.0,44,28000,0.0,417971,902.0,246.0,8.6
1646,Spy Game ,2001.0,Action|Crime|Thriller,English,Germany,R,114.0,2.35,92000000.0,26871.0,Tony Scott,Brad Pitt,Stephen Dillane,Catherine McCormack,12000.0,11000.0,577.0,307.0,12499,0,2.0,121259,361.0,142.0,7.0
1647,Spy Kids ,2001.0,Action|Adventure|Comedy|Family|Sci-Fi,English,USA,PG,88.0,1.85,35000000.0,112692062.0,Robert Rodriguez,Alexa PenaVega,Cheech Marin,Daryl Sabara,0.0,2000.0,843.0,640.0,4499,0,0.0,84325,205.0,122.0,5.4
1648,Summer Catch ,2001.0,Comedy|Drama|Romance|Sport,English,USA,PG-13,108.0,1.85,34000000.0,19693891.0,Michael Tollin,Marc Blucas,Brian Dennehy,Bruce Davison,19.0,973.0,954.0,505.0,3344,476,2.0,12993,107.0,50.0,4.9
1649,Super Troopers ,2001.0,Comedy|Crime|Mystery,English,USA,R,100.0,1.85,1200000.0,18488314.0,Jay Chandrasekhar,Geoffrey Arend,Daniel von Bargen,Jay Chandrasekhar,422.0,816.0,577.0,422.0,2893,0,0.0,76151,333.0,100.0,7.1
1650,Sweet November ,2001.0,Drama|Romance,English,USA,PG-13,119.0,1.85,40000000.0,25178165.0,Pat O'Connor,Keanu Reeves,Charlize Theron,Frank Langella,7.0,18000.0,9000.0,903.0,29484,8000,1.0,70292,274.0,94.0,6.7
1651,Swordfish ,2001.0,Action|Crime|Thriller,English,USA,R,99.0,2.35,80000000.0,69772969.0,Dominic Sena,Hugh Jackman,Don Cheadle,Sam Shepard,57.0,20000.0,3000.0,820.0,25942,0,4.0,155532,543.0,166.0,6.5
1652,Texas Rangers ,2001.0,Action|Adventure|Drama|Thriller|Western,English,USA,PG-13,110.0,2.35,38000000.0,623374.0,Steve Miner,Tom Skerritt,Usher Raymond,Leonor Varela,49.0,1000.0,569.0,427.0,2120,474,2.0,4757,67.0,31.0,5.2
1653,The Animal ,2001.0,Comedy|Sci-Fi,English,USA,PG-13,84.0,1.85,22000000.0,55762229.0,Luke Greenfield,Louis Lombardi,Michael Papajohn,Colleen Haskell,42.0,436.0,241.0,182.0,1203,1000,1.0,47383,132.0,75.0,4.8
1654,The Believer ,2001.0,Drama,English,USA,R,98.0,1.66,1500000.0,406035.0,Henry Bean,Ryan Gosling,Theresa Russell,Summer Phoenix,21.0,33000.0,243.0,76.0,33441,0,0.0,30314,159.0,84.0,7.2
1655,The Brothers ,2001.0,Comedy|Drama,English,USA,R,106.0,1.85,6000000.0,27457409.0,Gary Hardwick,Julie Benz,Tatyana Ali,Jenifer Lewis,10.0,3000.0,685.0,578.0,6419,478,4.0,3198,43.0,52.0,6.3
1656,The Business of Strangers ,2001.0,Drama|Thriller,English,USA,R,84.0,1.85,,1028337.0,Patrick Stettner,Stockard Channing,Tony Devon,Frederick Weller,5.0,944.0,257.0,152.0,1407,29,2.0,3413,78.0,61.0,6.4
1657,The Caveman's Valentine ,2001.0,Crime|Drama|Music|Mystery|Thriller,English,USA,R,105.0,1.85,,687081.0,Kasi Lemmons,Colm Feore,Tamara Tunie,Aunjanue Ellis,148.0,539.0,508.0,400.0,1767,329,0.0,5602,59.0,58.0,6.0
1658,The Curse of the Jade Scorpion ,2001.0,Comedy|Crime|Mystery|Romance,English,USA,PG-13,103.0,1.37,26000000.0,7496522.0,Woody Allen,Woody Allen,Elizabeth Berkley,Peter Gerety,11000.0,11000.0,893.0,277.0,12534,826,0.0,31798,178.0,116.0,6.8
1659,The Fast and the Furious ,2001.0,Action|Crime|Thriller,English,USA,PG-13,106.0,2.35,38000000.0,144512310.0,Rob Cohen,Paul Walker,Vin Diesel,Jordana Brewster,357.0,23000.0,14000.0,4000.0,45327,14000,2.0,272223,988.0,187.0,6.7
1660,The Fast and the Furious ,2001.0,Action|Crime|Thriller,English,USA,PG-13,106.0,2.35,38000000.0,144512310.0,Rob Cohen,Paul Walker,Vin Diesel,Jordana Brewster,357.0,23000.0,14000.0,4000.0,45327,14000,2.0,272223,988.0,187.0,6.7
1661,The Fast and the Furious ,2001.0,Action|Crime|Thriller,English,USA,PG-13,106.0,2.35,38000000.0,144512310.0,Rob Cohen,Paul Walker,Vin Diesel,Jordana Brewster,357.0,23000.0,14000.0,4000.0,45327,14000,2.0,272227,988.0,187.0,6.7
1662,The Forsaken ,2001.0,Horror|Thriller,English,USA,R,90.0,1.85,5000000.0,6755271.0,J.S. Cardone,Brendan Fehr,Kerr Smith,Izabella Miko,23.0,847.0,591.0,560.0,3004,327,4.0,7319,131.0,56.0,5.3
1663,The Glass House ,2001.0,Crime|Drama|Mystery|Thriller,English,USA,PG-13,106.0,2.35,30000000.0,17951431.0,Daniel Sackheim,Chris Noth,Bruce Dern,Trevor Morgan,12.0,962.0,844.0,595.0,4239,804,1.0,25462,200.0,95.0,5.8
1664,The Jimmy Show ,2001.0,Comedy|Drama,English,USA,R,96.0,1.85,1500000.0,703.0,Frank Whaley,Lynn Cohen,Frank Whaley,Heather Bucha,436.0,474.0,436.0,4.0,920,47,3.0,480,21.0,9.0,5.4
1665,The Last Castle ,2001.0,Action|Drama|Thriller,English,USA,R,131.0,2.35,60000000.0,18208078.0,Rod Lurie,Clifton Collins Jr.,Delroy Lindo,Michael Irby,37.0,968.0,848.0,507.0,3012,0,3.0,57100,281.0,110.0,6.9
1666,The Legend of Suriyothai ,2001.0,Action|Adventure|Drama|History|War,Thai,Thailand,R,300.0,1.85,400000000.0,454255.0,Chatrichalerm Yukol,Sarunyu Wongkrachang,Chatchai Plengpanich,Mai Charoenpura,6.0,7.0,6.0,6.0,32,124,3.0,1666,47.0,31.0,6.6
1667,The Lord of the Rings: The Fellowship of the Ring ,2001.0,Action|Adventure|Drama|Fantasy,English,New Zealand,PG-13,171.0,2.35,93000000.0,313837577.0,Peter Jackson,Christopher Lee,Orlando Bloom,Billy Boyd,0.0,16000.0,5000.0,857.0,22342,21000,2.0,1238746,5060.0,297.0,8.8
1668,The Lost Skeleton of Cadavra ,2001.0,Comedy|Horror|Sci-Fi,English,USA,PG,90.0,1.85,40000.0,110536.0,Larry Blamire,Fay Masterson,Brian Howe,Larry Blamire,56.0,126.0,76.0,56.0,284,0,1.0,4117,118.0,88.0,7.0
1669,The Majestic ,2001.0,Drama|Romance,English,USA,PG,152.0,1.85,72000000.0,27796042.0,Frank Darabont,Martin Landau,Hal Holbrook,Jeffrey DeMunn,0.0,940.0,826.0,745.0,4310,0,1.0,45031,376.0,128.0,6.9
1670,The Mexican ,2001.0,Adventure|Comedy|Crime|Romance,English,USA,R,123.0,2.35,34000000.0,66808615.0,Gore Verbinski,J.K. Simmons,Brad Pitt,Julia Roberts,563.0,24000.0,11000.0,8000.0,43917,2000,0.0,87351,344.0,125.0,6.1
1671,The Mummy Returns ,2001.0,Action|Adventure|Fantasy|Thriller,English,USA,PG-13,130.0,2.35,98000000.0,202007640.0,Stephen Sommers,Dwayne Johnson,Brendan Fraser,Patricia Velasquez,208.0,12000.0,3000.0,591.0,15972,0,5.0,248045,890.0,202.0,6.3
1672,The Musketeer ,2001.0,Action|Adventure|Romance,English,Germany,PG-13,104.0,2.35,40000000.0,27053815.0,Peter Hyams,Catherine Deneuve,Justin Chambers,Stephen Rea,0.0,964.0,931.0,327.0,2888,299,0.0,12856,291.0,107.0,4.7
1673,The One ,2001.0,Action|Sci-Fi|Thriller,English,USA,PG-13,85.0,2.35,49000000.0,43905746.0,James Wong,Jason Statham,Jet Li,Delroy Lindo,70.0,26000.0,5000.0,848.0,32831,0,1.0,77684,294.0,98.0,5.9
1674,The Other Side of Heaven ,2001.0,Adventure|Biography|Drama,English,USA,PG,113.0,1.85,7000000.0,4720371.0,Mitch Davis,Anne Hathaway,Nathaniel Lees,Miriama Smith,7.0,11000.0,43.0,35.0,11116,650,2.0,3203,85.0,27.0,6.5
1675,The Others ,2001.0,Fantasy|Horror|Thriller,English,USA,PG-13,101.0,1.85,17000000.0,96471845.0,Alejandro Amenábar,Fionnula Flanagan,Elaine Cassidy,Eric Sykes,448.0,482.0,203.0,83.0,956,20000,0.0,268581,1109.0,239.0,7.6
1676,The Pledge ,2001.0,Crime|Drama|Mystery|Thriller,English,USA,R,124.0,2.35,45000000.0,19719930.0,Sean Penn,Costas Mandylor,Adrien Dorval,Nels Lennarson,0.0,723.0,44.0,19.0,793,0,0.0,42621,531.0,150.0,6.8
1677,The Princess Diaries ,2001.0,Comedy|Family|Romance,English,USA,G,111.0,1.85,37000000.0,108244774.0,Garry Marshall,Anne Hathaway,Hector Elizondo,Heather Matarazzo,0.0,11000.0,995.0,529.0,13645,0,2.0,94049,301.0,108.0,6.2
1678,The Royal Tenenbaums ,2001.0,Comedy|Drama,English,USA,R,110.0,2.35,21000000.0,52353636.0,Wes Anderson,Bill Murray,Anjelica Huston,Seymour Cassel,0.0,13000.0,1000.0,327.0,14609,0,1.0,209133,962.0,220.0,7.6
1679,The Score ,2001.0,Crime|Drama|Thriller,English,USA,R,124.0,2.35,68000000.0,71069884.0,Frank Oz,Robert De Niro,Marlon Brando,Gary Farmer,0.0,22000.0,10000.0,580.0,32871,0,0.0,101899,445.0,141.0,6.8
1680,The Shipping News ,2001.0,Drama,English,USA,R,111.0,2.35,35000000.0,11405825.0,Lasse Hallström,Kevin Spacey,Scott Glenn,Jason Behr,529.0,18000.0,826.0,505.0,19805,0,3.0,28542,208.0,119.0,6.8
1681,The Tailor of Panama ,2001.0,Drama|Thriller,English,USA,R,109.0,2.35,18000000.0,13491653.0,John Boorman,Daniel Radcliffe,Jamie Lee Curtis,Mark Margolis,128.0,11000.0,2000.0,1000.0,14995,813,0.0,23728,213.0,104.0,6.1
1682,The Wash ,2001.0,Comedy,English,USA,R,93.0,1.85,4000000.0,10097096.0,DJ Pooh,Angell Conwell,Dr. Dre,DJ Pooh,69.0,522.0,231.0,69.0,955,842,2.0,5612,38.0,27.0,4.6
1683,The Wedding Planner ,2001.0,Comedy|Romance,English,Germany,PG-13,103.0,2.35,35000000.0,60400856.0,Adam Shankman,Matthew McConaughey,Judy Greer,Alex Rocco,163.0,11000.0,2000.0,968.0,17533,0,2.0,61317,229.0,108.0,5.2
1684,Thir13en Ghosts ,2001.0,Horror,English,USA,R,91.0,1.33,20000000.0,41867960.0,Steve Beck,Shannon Elizabeth,Embeth Davidtz,F. Murray Abraham,17.0,1000.0,795.0,670.0,3023,0,0.0,65512,478.0,149.0,5.5
1685,Thirteen Conversations About One Thing ,2001.0,Drama,English,USA,R,104.0,1.85,4500000.0,3287435.0,Jill Sprecher,Matthew McConaughey,Rob McElhenney,Amy Irving,11.0,11000.0,813.0,194.0,12250,430,2.0,8603,115.0,79.0,7.1
1686,Tomcats ,2001.0,Comedy,English,USA,R,95.0,1.85,11000000.0,13558739.0,Gregory Poirier,Shannon Elizabeth,Jake Busey,David Ogden Stiers,5.0,1000.0,660.0,443.0,2729,449,0.0,15427,121.0,75.0,5.3
1687,Town & Country ,2001.0,Comedy|Romance,English,New Line,R,104.0,1.85,90000000.0,6712451.0,Peter Chelsom,Del Zamora,Warren Beatty,Garry Shandling,23.0,752.0,631.0,591.0,3133,53,0.0,4102,89.0,62.0,4.4
1688,Training Day ,2001.0,Crime|Drama|Thriller,English,USA,R,122.0,2.35,45000000.0,76261036.0,Antoine Fuqua,Denzel Washington,Snoop Dogg,Tom Berenger,845.0,18000.0,881.0,854.0,22370,0,2.0,305929,633.0,109.0,7.7
1689,Two Can Play That Game ,2001.0,Comedy|Romance,English,USA,R,90.0,1.85,6000000.0,22235901.0,Mark Brown,Mo'Nique,Vivica A. Fox,Tamala Jones,7.0,939.0,890.0,405.0,2815,593,2.0,4339,31.0,40.0,6.1
1690,Valentine ,2001.0,Horror|Mystery|Thriller,English,USA,R,96.0,2.35,10000000.0,20384136.0,Jamie Blanks,Marley Shelton,Jessica Capshaw,Johnny Whitworth,9.0,690.0,533.0,448.0,2402,0,1.0,20467,371.0,120.0,4.7
1691,Vanilla Sky ,2001.0,Fantasy|Mystery|Romance|Sci-Fi|Thriller,English,USA,R,141.0,1.85,68000000.0,100614858.0,Cameron Crowe,Tom Cruise,Ivana Milicevic,Noah Taylor,488.0,10000.0,834.0,509.0,11458,0,1.0,206776,1248.0,153.0,6.9
1692,Wasabi ,2001.0,Action|Comedy|Crime|Drama|Thriller,French,France,R,94.0,2.35,15300000.0,81525.0,Gérard Krawczyk,Carole Bouquet,Ryôko Hirosue,Michel Muller,7.0,235.0,46.0,17.0,303,0,1.0,29392,91.0,40.0,6.6
1693,What's the Worst That Could Happen? ,2001.0,Comedy|Crime,English,USA,PG-13,94.0,1.85,45000000.0,32095318.0,Sam Weisman,Bernie Mac,Larry Miller,Richard Schiff,39.0,1000.0,611.0,506.0,3664,304,0.0,12466,84.0,64.0,5.5
1694,Winged Migration ,2001.0,Documentary,English,France,G,81.0,1.85,160000000.0,10762178.0,Jacques Perrin,Jacques Perrin,Philippe Labro,,63.0,63.0,3.0,,66,1000,0.0,10369,153.0,100.0,8.0
1695,Y Tu Mamá También ,2001.0,Adventure|Comedy|Drama|Romance,Spanish,Mexico,R,106.0,1.85,2000000.0,13622333.0,Alfonso Cuarón,Maribel Verdú,Daniel Giménez Cacho,María Aura,0.0,269.0,43.0,19.0,361,0,1.0,91377,385.0,173.0,7.7
1696,Zoolander ,2001.0,Comedy,English,Germany,PG-13,90.0,2.35,28000000.0,45162741.0,Ben Stiller,Milla Jovovich,Alexander Skarsgård,Will Ferrell,0.0,14000.0,10000.0,8000.0,34565,0,0.0,201084,523.0,135.0,6.6
1697,25th Hour ,2002.0,Drama,English,USA,R,108.0,2.35,15000000.0,13060843.0,Spike Lee,Philip Seymour Hoffman,Rosario Dawson,Aaron Stanford,0.0,22000.0,3000.0,346.0,26050,0,0.0,149528,454.0,202.0,7.7
1698,28 Days Later... ,2002.0,Drama|Horror|Sci-Fi|Thriller,English,UK,R,113.0,1.85,8000000.0,45063889.0,Danny Boyle,Noah Huntley,Megan Burns,David Schneider,0.0,133.0,32.0,27.0,241,11000,0.0,297250,1441.0,224.0,7.6
1699,40 Days and 40 Nights ,2002.0,Comedy|Romance,English,USA,R,96.0,1.85,17000000.0,37939782.0,Michael Lehmann,Emmanuelle Vaugier,Vinessa Shaw,Paulo Costanzo,36.0,1000.0,580.0,486.0,3294,2000,0.0,62272,207.0,140.0,5.6
1700,8 Mile ,2002.0,Drama|Music,English,USA,R,110.0,2.35,41000000.0,116724075.0,Curtis Hanson,Mekhi Phifer,Omar Benson Miller,Evan Jones,161.0,1000.0,418.0,196.0,1954,0,0.0,187181,564.0,119.0,7.0
1701,8 Women ,2002.0,Comedy|Crime|Musical|Romance,French,France,R,111.0,1.85,8000000.0,3076425.0,François Ozon,Catherine Deneuve,Isabelle Huppert,Emmanuelle Béart,341.0,963.0,678.0,569.0,3543,0,1.0,23660,162.0,128.0,7.1
1702,A Walk to Remember ,2002.0,Drama|Romance,English,USA,PG,101.0,2.35,11000000.0,41227069.0,Adam Shankman,Lauren German,Peter Coyote,Paz de la Huerta,163.0,683.0,548.0,488.0,2436,19000,1.0,162701,962.0,80.0,7.4
1703,Abandon ,2002.0,Drama|Music|Mystery|Romance|Thriller,English,USA,PG-13,99.0,2.35,25000000.0,10719367.0,Stephen Gaghan,Charlie Hunnam,Zooey Deschanel,Tony Goldwyn,79.0,16000.0,11000.0,956.0,28987,261,3.0,7909,157.0,72.0,4.9
1704,About a Boy ,2002.0,Comedy|Drama|Romance,English,UK,PG-13,101.0,2.35,30000000.0,40566655.0,Chris Weitz,Sharon Small,Christopher Webster,Peter McNicholl,129.0,66.0,5.0,3.0,74,0,0.0,144021,391.0,158.0,7.1
1705,About Schmidt ,2002.0,Comedy|Drama,English,USA,R,125.0,1.85,30000000.0,65010106.0,Alexander Payne,Hope Davis,June Squibb,Howard Hesseman,729.0,442.0,344.0,322.0,1556,0,1.0,107557,612.0,217.0,7.2
